topic,question,difficulty,explanation,choice_a,choice_b,choice_c,choice_d,choice_e,answer
Verbal Ability,"Which word is closest in meaning to ""notify""?",easy,"""Notify"" means ""to inform officially.""",to inform officially,hide,delay,ignore,,A
Verbal Ability,"Which word is closest in meaning to ""meticulous""?",easy,"""Meticulous"" means ""careful and precise.""",careful and precise,forgetful,hurried,careless,,A
Verbal Ability,"Which word is closest in meaning to ""versatile""?",easy,"""Versatile"" means ""able to adapt to many uses.""",narrow,able to adapt to many uses,rigid,limited,,B
Verbal Ability,"Which word is closest in meaning to ""gullible""?",easy,"""Gullible"" means ""easily deceived.""",skeptical,easily deceived,wise,cautious,,B
Verbal Ability,"Which word is closest in meaning to ""vigilant""?",easy,"""Vigilant"" means ""watchful and alert.""",careless,watchful and alert,sleepy,forgetful,,B
Verbal Ability,"Which word is closest in meaning to ""dubious""?",easy,"""Dubious"" means ""doubtful or uncertain.""",clear,doubtful or uncertain,certain,confident,,B
Verbal Ability,"Which word is closest in meaning to ""reluctant""?",easy,"""Reluctant"" means ""unwilling.""",excited,willing,unwilling,eager,,C
Verbal Ability,"Which word is closest in meaning to ""evident""?",easy,"""Evident"" means ""clearly seen or understood.""",hidden,doubtful,clearly seen or understood,confusing,,C
Verbal Ability,"Which word is closest in meaning to ""prudent""?",easy,"""Prudent"" means ""careful and wise.""",reckless,noisy,lazy,careful and wise,,D
Verbal Ability,"Which word is closest in meaning to ""meager""?",easy,"""Meager"" means ""small in amount.""",plentiful,generous,small in amount,abundant,,C
Verbal Ability,"Which word is closest in meaning to ""unanimous""?",easy,"""Unanimous"" means ""in full agreement.""",in full agreement,opposed,split,divided,,A
Verbal Ability,"Which word is closest in meaning to ""comply""?",easy,"""Comply"" means ""to act according to a rule.""",to act according to a rule,rebel,ignore,refuse,,A
Verbal Ability,"Which word is closest in meaning to ""tentative""?",easy,"""Tentative"" means ""not fixed or final.""",certain,permanent,definite,not fixed or final,,D
Verbal Ability,"Which word is closest in meaning to ""deficit""?",easy,"""Deficit"" means ""a shortage or lack.""",surplus,excess,abundance,a shortage or lack,,D
Verbal Ability,"Which word is closest in meaning to ""tedious""?",easy,"""Tedious"" means ""long and tiresome.""",brief,long and tiresome,exciting,simple,,B
Verbal Ability,"Which word is closest in meaning to ""diverse""?",easy,"""Diverse"" means ""varied and different.""",limited,uniform,varied and different,identical,,C
Verbal Ability,"Which word is closest in meaning to ""expedite""?",easy,"""Expedite"" means ""to speed up a process.""",delay,complicate,stop,to speed up a process,,D
Verbal Ability,"Which word is closest in meaning to ""cordial""?",easy,"""Cordial"" means ""warm and friendly.""",cold,distant,rude,warm and friendly,,D
Verbal Ability,"Which word is closest in meaning to ""perpetual""?",easy,"""Perpetual"" means ""never ending.""",temporary,occasional,never ending,brief,,C
Verbal Ability,"Which word is closest in meaning to ""wary""?",easy,"""Wary"" means ""cautious of danger.""",cautious of danger,confident,careless,reckless,,A
Verbal Ability,"Which word is closest in meaning to ""plausible""?",easy,"""Plausible"" means ""reasonable and believable.""",false,absurd,reasonable and believable,impossible,,C
Verbal Ability,"Which word is closest in meaning to ""optimistic""?",easy,"""Optimistic"" means ""hopeful about the future.""",pessimistic,fearful,doubtful,hopeful about the future,,D
Verbal Ability,"Which word means the OPPOSITE of ""scrutinize""?",easy,"""Scrutinize"" means ""to examine closely,"" so its opposite is ""ignore.""",skim,overlook,ignore,to examine closely,,C
Verbal Ability,"Which word means the OPPOSITE of ""genuine""?",easy,"""Genuine"" means ""real and authentic,"" so its opposite is ""fake.""",doubtful,fake,real and authentic,hidden,,B
Verbal Ability,"Which word means the OPPOSITE of ""comply""?",easy,"""Comply"" means ""to act according to a rule,"" so its opposite is ""rebel.""",rebel,ignore,refuse,to act according to a rule,,A
Verbal Ability,"Which word means the OPPOSITE of ""hostile""?",easy,"""Hostile"" means ""unfriendly and aggressive,"" so its opposite is ""friendly.""",friendly,gentle,calm,unfriendly and aggressive,,A
Verbal Ability,"Which word means the OPPOSITE of ""vigilant""?",easy,"""Vigilant"" means ""watchful and alert,"" so its opposite is ""careless.""",sleepy,forgetful,watchful and alert,careless,,D
Verbal Ability,"Which word means the OPPOSITE of ""compassion""?",easy,"""Compassion"" means ""sympathy for others' suffering,"" so its opposite is ""indifference.""",indifference,sympathy for others' suffering,cruelty,jealousy,,A
Verbal Ability,"Which word means the OPPOSITE of ""concise""?",easy,"""Concise"" means ""brief and clear,"" so its opposite is ""lengthy.""",confusing,lengthy,vague,brief and clear,,B
Verbal Ability,"Which word means the OPPOSITE of ""cordial""?",easy,"""Cordial"" means ""warm and friendly,"" so its opposite is ""cold.""",warm and friendly,distant,rude,cold,,D
Verbal Ability,"Which word means the OPPOSITE of ""credible""?",easy,"""Credible"" means ""believable,"" so its opposite is ""doubtful.""",false,impossible,believable,doubtful,,D
Verbal Ability,"Which word means the OPPOSITE of ""indifferent""?",easy,"""Indifferent"" means ""having no particular interest,"" so its opposite is ""passionate.""",having no particular interest,curious,passionate,eager,,C
Verbal Ability,"Which word means the OPPOSITE of ""lethargic""?",easy,"""Lethargic"" means ""lacking energy,"" so its opposite is ""energetic.""",energetic,lacking energy,active,lively,,A
Verbal Ability,"Which word means the OPPOSITE of ""lenient""?",easy,"""Lenient"" means ""not strict,"" so its opposite is ""strict.""",harsh,cruel,strict,not strict,,C
Verbal Ability,"Which word means the OPPOSITE of ""diverse""?",easy,"""Diverse"" means ""varied and different,"" so its opposite is ""uniform.""",identical,limited,varied and different,uniform,,D
Verbal Ability,"Which word means the OPPOSITE of ""frugal""?",easy,"""Frugal"" means ""careful with money,"" so its opposite is ""wasteful.""",careful with money,wasteful,reckless,generous,,B
Verbal Ability,"Which word means the OPPOSITE of ""perpetual""?",easy,"""Perpetual"" means ""never ending,"" so its opposite is ""temporary.""",never ending,occasional,brief,temporary,,D
Verbal Ability,"Which word means the OPPOSITE of ""ambiguous""?",easy,"""Ambiguous"" means ""having more than one meaning,"" so its opposite is ""clear.""",clear,having more than one meaning,simple,obvious,,A
Verbal Ability,"Which word means the OPPOSITE of ""tentative""?",easy,"""Tentative"" means ""not fixed or final,"" so its opposite is ""definite.""",certain,not fixed or final,permanent,definite,,D
Verbal Ability,"Which word means the OPPOSITE of ""evident""?",easy,"""Evident"" means ""clearly seen or understood,"" so its opposite is ""hidden.""",hidden,confusing,doubtful,clearly seen or understood,,A
Verbal Ability,"Which word means the OPPOSITE of ""expedite""?",easy,"""Expedite"" means ""to speed up a process,"" so its opposite is ""delay.""",stop,to speed up a process,complicate,delay,,D
Verbal Ability,"Which word means the OPPOSITE of ""unanimous""?",easy,"""Unanimous"" means ""in full agreement,"" so its opposite is ""divided.""",divided,split,opposed,in full agreement,,A
Verbal Ability,"Which word means the OPPOSITE of ""amicable""?",easy,"""Amicable"" means ""friendly and peaceable,"" so its opposite is ""hostile.""",hostile,friendly and peaceable,rude,distant,,A
Verbal Ability,"Which word means the OPPOSITE of ""notify""?",easy,"""Notify"" means ""to inform officially,"" so its opposite is ""ignore.""",to inform officially,hide,delay,ignore,,D
Verbal Ability,"Which word means the OPPOSITE of ""thrive""?",easy,"""Thrive"" means ""to grow and develop successfully,"" so its opposite is ""fail.""",struggle,fail,to grow and develop successfully,decline,,B
Verbal Ability,"Which word means the OPPOSITE of ""meticulous""?",easy,"""Meticulous"" means ""careful and precise,"" so its opposite is ""careless.""",careful and precise,forgetful,careless,hurried,,C
Verbal Ability,"Which word means the OPPOSITE of ""dubious""?",easy,"""Dubious"" means ""doubtful or uncertain,"" so its opposite is ""certain.""",clear,doubtful or uncertain,certain,confident,,C
Verbal Ability,"Which word means the OPPOSITE of ""meager""?",easy,"""Meager"" means ""small in amount,"" so its opposite is ""abundant.""",small in amount,generous,plentiful,abundant,,D
Verbal Ability,"Which word means the OPPOSITE of ""resolute""?",easy,"""Resolute"" means ""firm and determined,"" so its opposite is ""hesitant.""",hesitant,weak,uncertain,firm and determined,,A
Verbal Ability,"Which word means the OPPOSITE of ""candid""?",easy,"""Candid"" means ""frank and honest,"" so its opposite is ""deceptive.""",secretive,boastful,deceptive,frank and honest,,C
Verbal Ability,"Which word means the OPPOSITE of ""frivolous""?",easy,"""Frivolous"" means ""not having any serious purpose,"" so its opposite is ""serious.""",practical,important,serious,not having any serious purpose,,C
Verbal Ability,"Which word means the OPPOSITE of ""jubilant""?",easy,"""Jubilant"" means ""feeling great happiness,"" so its opposite is ""sad.""",gloomy,feeling great happiness,sad,angry,,C
Verbal Ability,"Which word means the OPPOSITE of ""hinder""?",easy,"""Hinder"" means ""to delay or obstruct,"" so its opposite is ""assist.""",support,to delay or obstruct,enable,assist,,D
Verbal Ability,"Which word means the OPPOSITE of ""plausible""?",easy,"""Plausible"" means ""reasonable and believable,"" so its opposite is ""impossible.""",false,absurd,impossible,reasonable and believable,,C
Verbal Ability,"Which word means the OPPOSITE of ""obsolete""?",easy,"""Obsolete"" means ""no longer used,"" so its opposite is ""modern.""",no longer used,popular,modern,current,,C
Verbal Ability,"Which word means the OPPOSITE of ""reluctant""?",easy,"""Reluctant"" means ""unwilling,"" so its opposite is ""eager.""",willing,excited,unwilling,eager,,D
Verbal Ability,"Which word means the OPPOSITE of ""tedious""?",easy,"""Tedious"" means ""long and tiresome,"" so its opposite is ""exciting.""",brief,exciting,simple,long and tiresome,,B
Verbal Ability,"Which word means the OPPOSITE of ""mandatory""?",easy,"""Mandatory"" means ""required by rule,"" so its opposite is ""optional.""",optional,required by rule,forbidden,unlikely,,A
Verbal Ability,"Which word means the OPPOSITE of ""endorse""?",easy,"""Endorse"" means ""to publicly approve,"" so its opposite is ""reject.""",to publicly approve,reject,oppose,criticize,,B
Verbal Ability,"Which word means the OPPOSITE of ""humble""?",easy,"""Humble"" means ""not proud or arrogant,"" so its opposite is ""arrogant.""",vain,not proud or arrogant,boastful,arrogant,,D
Verbal Ability,"Which word means the OPPOSITE of ""quaint""?",easy,"""Quaint"" means ""attractively unusual or old-fashioned,"" so its opposite is ""modern.""",plain,attractively unusual or old-fashioned,modern,ordinary,,C
Verbal Ability,"Which word means the OPPOSITE of ""versatile""?",easy,"""Versatile"" means ""able to adapt to many uses,"" so its opposite is ""limited.""",able to adapt to many uses,narrow,limited,rigid,,C
Verbal Ability,Novel is to Chapter as House is to ____?,medium,A novel relates to chapter the same way a house relates to room.,Room,Garden,Wall,Roof,,A
Verbal Ability,Tailor is to Clothes as Carpenter is to ____?,medium,A tailor relates to clothes the same way a carpenter relates to furniture.,Furniture,Baker,Farmer,Mechanic,,A
Verbal Ability,Farmer is to Crops as Fisherman is to ____?,medium,A farmer relates to crops the same way a fisherman relates to fish.,Baker,Vendor,Miner,Fish,,D
Verbal Ability,Signature is to Document as Stamp is to ____?,medium,A signature relates to document the same way a stamp relates to envelope.,Label,Seal,Photo,Envelope,,D
Verbal Ability,Beehive is to Bees as Anthill is to ____?,medium,A beehive relates to bees the same way a anthill relates to ants.,Cave,Nest,Burrow,Ants,,D
Verbal Ability,Pen is to Write as Knife is to ____?,medium,A pen relates to write the same way a knife relates to cut.,Sleep,Sing,Run,Cut,,D
Verbal Ability,Puppy is to Dog as Kitten is to ____?,medium,A puppy relates to dog the same way a kitten relates to cat.,Cub,Chick,Cat,Foal,,C
Verbal Ability,Doctor is to Hospital as Teacher is to ____?,medium,A doctor relates to hospital the same way a teacher relates to school.,Farm,Market,School,Court,,C
Verbal Ability,Wheel is to Car as Sail is to ____?,medium,A wheel relates to car the same way a sail relates to boat.,Engine,Wing,Track,Boat,,D
Verbal Ability,Chef is to Kitchen as Judge is to ____?,medium,A chef relates to kitchen the same way a judge relates to courtroom.,Garden,Store,Garage,Courtroom,,D
Verbal Ability,Engine is to Car as Heart is to ____?,medium,A engine relates to car the same way a heart relates to body.,Battery,Wheel,Body,Fuel,,C
Verbal Ability,Clock is to Time as Compass is to ____?,medium,A clock relates to time the same way a compass relates to direction.,Map,Speed,Direction,Weight,,C
Verbal Ability,Caterpillar is to Butterfly as Tadpole is to ____?,medium,A caterpillar relates to butterfly the same way a tadpole relates to frog.,Seed,Egg,Cub,Frog,,D
Verbal Ability,Author is to Book as Composer is to ____?,medium,A author relates to book the same way a composer relates to song.,Cloud,Bridge,Song,River,,C
Verbal Ability,Vaccine is to Disease as Helmet is to ____?,medium,A vaccine relates to disease the same way a helmet relates to injury.,Injury,Lock,Umbrella,Fence,,A
Verbal Ability,Bird is to Nest as Bee is to ____?,medium,A bird relates to nest the same way a bee relates to hive.,Hive,Barn,Pond,Cave,,A
Verbal Ability,Library is to Books as Zoo is to ____?,medium,A library relates to books the same way a zoo relates to animals.,Animals,School,Bank,Church,,A
Verbal Ability,Water is to Liquid as Ice is to ____?,medium,A water relates to liquid the same way a ice relates to solid.,Gas,Solid,Metal,Wood,,B
Verbal Ability,Seed is to Tree as Egg is to ____?,medium,A seed relates to tree the same way a egg relates to chicken.,Chicken,Root,Leaf,Branch,,A
Verbal Ability,Whisper is to Quiet as Shout is to ____?,medium,A whisper relates to quiet the same way a shout relates to loud.,Speak,Cry,Sing,Loud,,D
Verbal Ability,Nurse is to Patient as Teacher is to ____?,medium,A nurse relates to patient the same way a teacher relates to student.,Judge,Customer,Client,Student,,D
Verbal Ability,Sun is to Day as Moon is to ____?,medium,A sun relates to day the same way a moon relates to night.,Rain,Night,Cloud,Star,,B
Verbal Ability,Fish is to Swim as Bird is to ____?,medium,A fish relates to swim the same way a bird relates to fly.,Sit,Fly,Sleep,Crawl,,B
Verbal Ability,Pilot is to Airplane as Captain is to ____?,medium,A pilot relates to airplane the same way a captain relates to ship.,Road,Train Station,Bicycle,Ship,,D
Verbal Ability,Key is to Lock as Password is to ____?,medium,A key relates to lock the same way a password relates to account.,Door,Window,Wall,Account,,D
Verbal Ability,Painter is to Canvas as Sculptor is to ____?,medium,A painter relates to canvas the same way a sculptor relates to stone.,Brush,Gallery,Stone,Frame,,C
Verbal Ability,Vaccine is to Immunity as Exercise is to ____?,medium,A vaccine relates to immunity the same way a exercise relates to fitness.,Rest,Diet,Medicine,Fitness,,D
Verbal Ability,Sponge is to Absorb as Magnet is to ____?,medium,A sponge relates to absorb the same way a magnet relates to attract.,Shield,Filter,Mirror,Attract,,D
Verbal Ability,Recipe is to Cook as Blueprint is to ____?,medium,A recipe relates to cook the same way a blueprint relates to build.,Build,Sing,Write,Paint,,A
Verbal Ability,Thermometer is to Temperature as Ruler is to ____?,medium,A thermometer relates to temperature the same way a ruler relates to length.,Smell,Length,Weight,Color,,B
Verbal Ability,Compass is to Navigate as Thermometer is to ____?,medium,A compass relates to navigate the same way a thermometer relates to measure.,Ladder,Lantern,Anchor,Measure,,D
Verbal Ability,Umbrella is to Rain as Jacket is to ____?,medium,A umbrella relates to rain the same way a jacket relates to cold.,Boots,Hat,Fan,Cold,,D
Verbal Ability,Diploma is to Graduate as Trophy is to ____?,medium,A diploma relates to graduate the same way a trophy relates to winner.,Winner,Medal,Certificate,Badge,,A
Verbal Ability,Bank is to Money as Library is to ____?,medium,A bank relates to money the same way a library relates to books.,School,Market,Books,Hospital,,C
Verbal Ability,Passport is to Travel as License is to ____?,medium,A passport relates to travel the same way a license relates to drive.,Drive,Ticket,Badge,Receipt,,A
Verbal Ability,Choose the word that best completes the sentence: The government launched a program to ____ unemployment in rural areas.,medium,"""Reduce"" best fits the context of the sentence.",ignore,reduce,celebrate,increase,,B
Verbal Ability,Choose the word that best completes the sentence: The mayor's speech was ____ so that everyone could easily understand the new policy.,medium,"""Simple"" best fits the context of the sentence.",complicated,confusing,technical,simple,,D
Verbal Ability,Choose the word that best completes the sentence: The staff meeting was ____ because the director had an emergency.,medium,"""Cancelled"" best fits the context of the sentence.",recorded,cancelled,enjoyed,extended,,B
Verbal Ability,Choose the word that best completes the sentence: The committee will ____ the proposal before the budget is finalized.,medium,"""Review"" best fits the context of the sentence.",celebrate,burn,abandon,review,,D
Verbal Ability,Choose the word that best completes the sentence: The applicant's résumé was so ____ that the interviewer had no questions left to ask.,medium,"""Thorough"" best fits the context of the sentence.",short,vague,thorough,messy,,C
Verbal Ability,Choose the word that best completes the sentence: The cashier had to ____ the receipt after noticing a computation error.,medium,"""Reissue"" best fits the context of the sentence.",reissue,laminate,destroy,ignore,,A
Verbal Ability,Choose the word that best completes the sentence: The clerk double-checked the ledger to ____ any discrepancies.,medium,"""Identify"" best fits the context of the sentence.",identify,hide,ignore,create,,A
Verbal Ability,Choose the word that best completes the sentence: The new intern was ____ to learn the filing system quickly.,medium,"""Eager"" best fits the context of the sentence.",reluctant,eager,afraid,bored,,B
Verbal Ability,Choose the word that best completes the sentence: The officer was commended for handling the complaint in a ____ manner.,medium,"""Professional"" best fits the context of the sentence.",careless,hostile,professional,rude,,C
Verbal Ability,Choose the word that best completes the sentence: The supervisor gave ____ instructions so no one would be confused.,medium,"""Clear"" best fits the context of the sentence.",vague,confusing,incomplete,clear,,D
Verbal Ability,Choose the word that best completes the sentence: The barangay council decided to ____ the proposed ordinance after public hearing.,medium,"""Approve"" best fits the context of the sentence.",postpone indefinitely,approve,misplace,destroy,,B
Verbal Ability,Choose the word that best completes the sentence: The office reminded employees to ____ confidential files properly.,medium,"""Secure"" best fits the context of the sentence.",ignore,expose,secure,lose,,C
Verbal Ability,Choose the word that best completes the sentence: The applicant's answers were ____ and straight to the point.,medium,"""Direct"" best fits the context of the sentence.",vague,irrelevant,confusing,direct,,D
Verbal Ability,Choose the word that best completes the sentence: The auditor had to ____ every receipt before approving the reimbursement.,medium,"""Verify"" best fits the context of the sentence.",copy,discard,verify,hide,,C
Verbal Ability,Choose the word that best completes the sentence: Employees are expected to ____ the company's code of conduct at all times.,medium,"""Follow"" best fits the context of the sentence.",follow,ignore,forget,break,,A
Verbal Ability,Choose the word that best completes the sentence: The librarian asked patrons to ____ their books on time.,medium,"""Return"" best fits the context of the sentence.",destroy,return,hide,sell,,B
Verbal Ability,Choose the word that best completes the sentence: The new policy aims to ____ transparency in government transactions.,medium,"""Promote"" best fits the context of the sentence.",reduce,promote,forbid,hide,,B
Verbal Ability,Choose the word that best completes the sentence: Staff members must ____ their attendance every morning.,medium,"""Log"" best fits the context of the sentence.",forget,log,erase,hide,,B
Verbal Ability,Choose the word that best completes the sentence: The barangay captain urged residents to ____ water during the dry season.,medium,"""Conserve"" best fits the context of the sentence.",ignore,conserve,waste,pollute,,B
Verbal Ability,Choose the word that best completes the sentence: The company decided to ____ the meeting due to the sudden typhoon warning.,medium,"""Postpone"" best fits the context of the sentence.",ignore,postpone,celebrate,publish,,B
Verbal Ability,Choose the word that best completes the sentence: The applicant was asked to ____ a valid identification card upon submission.,medium,"""Present"" best fits the context of the sentence.",destroy,forget,present,hide,,C
Verbal Ability,Choose the word that best completes the sentence: The typhoon forced the office to ____ its operations for two days.,medium,"""Suspend"" best fits the context of the sentence.",suspend,publicize,celebrate,expand,,A
Verbal Ability,Choose the word that best completes the sentence: It is the clerk's duty to ____ the incoming mail every morning.,medium,"""Sort"" best fits the context of the sentence.",lose,ignore,sort,burn,,C
Verbal Ability,Choose the word that best completes the sentence: The proposal was rejected because it lacked ____ supporting data.,medium,"""Sufficient"" best fits the context of the sentence.",sufficient,fake,irrelevant,excessive,,A
Verbal Ability,"Choose the word that best completes the sentence: Despite the heavy rain, the volunteers remained ____ and continued the relief operations.",medium,"""Committed"" best fits the context of the sentence.",committed,confused,absent,careless,,A
Verbal Ability,"Choose the word that best completes the sentence: Because the report contained several errors, it had to be ____ before submission.",medium,"""Revised"" best fits the context of the sentence.",revised,ignored,published,approved,,A
Verbal Ability,Choose the word that best completes the sentence: The training module was designed to be ____ for beginners.,medium,"""Accessible"" best fits the context of the sentence.",confusing,expensive,accessible,impossible,,C
Verbal Ability,Choose the word that best completes the sentence: Applicants must ____ all required documents before the deadline.,medium,"""Submit"" best fits the context of the sentence.",hide,submit,misplace,burn,,B
Verbal Ability,Choose the word that best completes the sentence: The team worked ____ to finish the project ahead of the deadline.,medium,"""Diligently"" best fits the context of the sentence.",diligently,slowly,carelessly,reluctantly,,A
Verbal Ability,Choose the word that best completes the sentence: The HR officer will ____ the shortlisted candidates for a final interview.,medium,"""Contact"" best fits the context of the sentence.",contact,forget,dismiss,ignore,,A
Verbal Ability,Choose the word that best completes the sentence: Her ____ attitude toward customers earned her the Employee of the Month award.,medium,"""Courteous"" best fits the context of the sentence.",rude,courteous,careless,arrogant,,B
Verbal Ability,Choose the word that best completes the sentence: The receptionist greeted every visitor with a ____ smile.,medium,"""Warm"" best fits the context of the sentence.",cold,forced,nervous,warm,,D
Verbal Ability,Choose the word that best completes the sentence: The trainee's handwriting had to be ____ before the form could be scanned.,medium,"""Corrected"" best fits the context of the sentence.",celebrated,corrected,destroyed,ignored,,B
Verbal Ability,Choose the word that best completes the sentence: The village health center will ____ free vaccines this weekend.,medium,"""Distribute"" best fits the context of the sentence.",withhold,sell,destroy,distribute,,D
Verbal Ability,Choose the word that best completes the sentence: The manager asked the new hires to ____ the safety guidelines before starting work.,medium,"""Review"" best fits the context of the sentence.",forget,review,destroy,ignore,,B
Verbal Ability,"Which word or phrase means ""a person who repairs pipes and water systems""?",medium,"""Plumber"" is the term for ""a person who repairs pipes and water systems.""",electrician,mason,carpenter,plumber,,D
Verbal Ability,"Which word or phrase means ""a place where documents are kept for safekeeping""?",medium,"""Archive"" is the term for ""a place where documents are kept for safekeeping.""",market,kitchen,garage,archive,,D
Verbal Ability,"Which word or phrase means ""one who succeeds another in an office or position""?",medium,"""Successor"" is the term for ""one who succeeds another in an office or position.""",predecessor,witness,rival,successor,,D
Verbal Ability,"Which word or phrase means ""a person who studies the stars and planets""?",medium,"""Astronomer"" is the term for ""a person who studies the stars and planets.""",chemist,astronomer,biologist,geologist,,B
Verbal Ability,"Which word or phrase means ""a group of people chosen to make a decision""?",medium,"""Committee"" is the term for ""a group of people chosen to make a decision.""",tribe,audience,committee,crowd,,C
Verbal Ability,"Which word or phrase means ""money set aside regularly for future use""?",medium,"""Savings"" is the term for ""money set aside regularly for future use.""",debt,expense,savings,tax,,C
Verbal Ability,"Which word or phrase means ""one who commits a crime for the first time""?",medium,"""First-time offender"" is the term for ""one who commits a crime for the first time.""",witness,victim,officer,first-time offender,,D
Verbal Ability,"Which word or phrase means ""the smallest unit of local government in the Philippines""?",medium,"""Barangay"" is the term for ""the smallest unit of local government in the Philippines.""",province,district,barangay,region,,C
Verbal Ability,"Which word or phrase means ""a person who studies old objects and ancient sites""?",medium,"""Archaeologist"" is the term for ""a person who studies old objects and ancient sites.""",archaeologist,botanist,astrologer,biologist,,A
Verbal Ability,"Which word or phrase means ""a written record of the minutes of a meeting""?",medium,"""Transcript"" is the term for ""a written record of the minutes of a meeting.""",flyer,transcript,poster,invoice,,B
Verbal Ability,"Which word or phrase means ""an official document confirming a fact or qualification""?",medium,"""Certificate"" is the term for ""an official document confirming a fact or qualification.""",poster,certificate,memo,draft,,B
Verbal Ability,"Which word or phrase means ""a payment made in advance""?",medium,"""Downpayment"" is the term for ""a payment made in advance.""",downpayment,penalty,discount,refund,,A
Verbal Ability,"Which word or phrase means ""one who represents another person legally""?",medium,"""Attorney"" is the term for ""one who represents another person legally.""",cashier,messenger,attorney,clerk,,C
Verbal Ability,"Which word or phrase means ""a document that proves ownership of property""?",medium,"""Title"" is the term for ""a document that proves ownership of property.""",receipt,memo,title,ticket,,C
Verbal Ability,"Which word or phrase means ""a fixed period during which a contract is in force""?",medium,"""Term"" is the term for ""a fixed period during which a contract is in force.""",term,deadline,penalty,clause,,A
Verbal Ability,"Which word or phrase means ""one who is present to see an event happen""?",medium,"""Eyewitness"" is the term for ""one who is present to see an event happen.""",suspect,lawyer,eyewitness,judge,,C
Verbal Ability,"Which word or phrase means ""a place where a plane takes off and lands""?",medium,"""Airport"" is the term for ""a place where a plane takes off and lands.""",seaport,airport,terminal building,depot,,B
Verbal Ability,"Which word or phrase means ""the amount of money earned before deductions""?",medium,"""Gross income"" is the term for ""the amount of money earned before deductions.""",tax,expense,gross income,net income,,C
Verbal Ability,"Which word or phrase means ""the act of stepping down from a position voluntarily""?",medium,"""Resignation"" is the term for ""the act of stepping down from a position voluntarily.""",promotion,suspension,termination,resignation,,D
Verbal Ability,"Which word or phrase means ""a person who examines financial accounts""?",medium,"""Auditor"" is the term for ""a person who examines financial accounts.""",teller,cashier,auditor,messenger,,C
Verbal Ability,"Which word or phrase means ""a person new to a job or organization""?",medium,"""Novice"" is the term for ""a person new to a job or organization.""",supervisor,expert,novice,veteran,,C
Verbal Ability,"Which word or phrase means ""one who is not yet proven guilty but is accused""?",medium,"""Suspect"" is the term for ""one who is not yet proven guilty but is accused.""",judge,suspect,witness,victim,,B
Verbal Ability,"Which word or phrase means ""a formal complaint filed with an office or court""?",medium,"""Petition"" is the term for ""a formal complaint filed with an office or court.""",invitation,memo,petition,receipt,,C
Verbal Ability,"Which word or phrase means ""a formal, official order or law""?",medium,"""Decree"" is the term for ""a formal, official order or law.""",suggestion,opinion,rumor,decree,,D
Verbal Ability,"Which word or phrase means ""the act of formally giving up a right or claim""?",medium,"""Waiver"" is the term for ""the act of formally giving up a right or claim.""",petition,contract,waiver,summons,,C
Verbal Ability,"Which word or phrase means ""someone appointed to settle a dispute between two parties""?",medium,"""Mediator"" is the term for ""someone appointed to settle a dispute between two parties.""",witness,mediator,bystander,suspect,,B
Verbal Ability,"Which word or phrase means ""a person who travels to a foreign country to work""?",medium,"""Migrant worker"" is the term for ""a person who travels to a foreign country to work.""",diplomat,tourist,migrant worker,student,,C
Verbal Ability,"Which word or phrase means ""someone who watches over and protects something""?",medium,"""Guardian"" is the term for ""someone who watches over and protects something.""",stranger,intruder,visitor,guardian,,D
Verbal Ability,"Which word or phrase means ""a person who inherits a title, property, or position""?",medium,"""Heir"" is the term for ""a person who inherits a title, property, or position.""",heir,guest,tenant,employee,,A
Verbal Ability,"Which word or phrase means ""someone who cannot be corrupted or bribed""?",medium,"""Incorruptible"" is the term for ""someone who cannot be corrupted or bribed.""",greedy,careless,dishonest,incorruptible,,D
Verbal Ability,"What does the idiom ""to touch base"" mean?",medium,"The idiom ""to touch base"" means ""to make brief contact or communication.""",to end a relationship,to make brief contact or communication,to start a fight,to hide information,,B
Verbal Ability,"What does the idiom ""to keep one's fingers crossed"" mean?",medium,"The idiom ""to keep one's fingers crossed"" means ""to hope for a good outcome.""",to give up hope,to plan carefully,to refuse help,to hope for a good outcome,,D
Verbal Ability,"What does the idiom ""to see eye to eye"" mean?",medium,"The idiom ""to see eye to eye"" means ""to agree with someone.""",to compete fiercely,to argue constantly,to agree with someone,to avoid contact,,C
Verbal Ability,"What does the idiom ""to call it a day"" mean?",medium,"The idiom ""to call it a day"" means ""to stop working for the day.""",to argue about a topic,to stop working for the day,to celebrate all night,to start a new project,,B
Verbal Ability,"What does the idiom ""to pull strings"" mean?",medium,"The idiom ""to pull strings"" means ""to use influence to get an advantage.""",to lose control,to work honestly,to use influence to get an advantage,to play music,,C
Verbal Ability,"What does the idiom ""to be on the same page"" mean?",medium,"The idiom ""to be on the same page"" means ""to agree or understand each other.""",to disagree strongly,to agree or understand each other,to read together,to work separately,,B
Verbal Ability,"What does the idiom ""to jump on the bandwagon"" mean?",medium,"The idiom ""to jump on the bandwagon"" means ""to join a popular trend or activity.""",to join a popular trend or activity,to ignore others,to start a new trend,to oppose a trend,,A
Verbal Ability,"What does the idiom ""to hit the books"" mean?",medium,"The idiom ""to hit the books"" means ""to study intensively.""",to give up,to relax fully,to fight physically,to study intensively,,D
Verbal Ability,"What does the idiom ""to cut corners"" mean?",medium,"The idiom ""to cut corners"" means ""to do something in the easiest or cheapest way.""",to do something in the easiest or cheapest way,to follow every rule,to spend generously,to work overtime,,A
